0.1,0.1051,6
0.2,0.2035,11.5
0.3,0.3057,17
0.4,0.4142,22.5
0.5,0.5095,27
0.6,0.6008,31
0.7,0.7133,35.5
0.8,0.8098,39
0.9,0.9004,42
1,1,45
